"subject_race","san_antonio_contraband","san_antonio_searches","san_antonio_percentage_contraband","san_antonio_stops","san_antonio_percent_searched","san_diego_contraband","san_diego_searches","san_diego_percentage_contraband","san_diego_stops","san_diego_percent_searched"
"asian/pacific islander",3,22,13.6363636363636,10507,0.20938422004378,95,910,10.4395604395604,32541,2.79647214283519
"other",16,129,12.4031007751938,23996,0.537589598266378,43,451,9.53436807095344,27238,1.65577502019238
"white",343,3210,10.6853582554517,387629,0.828111415812542,518,4510,11.4855875831486,162226,2.78007224489293
"hispanic",391,3972,9.84390735146022,511917,0.775907031803984,528,6501,8.12182741116751,117083,5.55247132376178
"black",107,1377,7.77051561365287,103135,1.33514325883551,361,3873,9.32093983991738,42705,9.06919564453811
